,label,day,brand,type,deliveried ,unique-opens,unique-opens-pc,uniqe-clicks,unique-clicks-pc,
,SEMINAR & WEBINAR - JULY (SYD region 2) Retirement Series (CBUS & MS) REMINDER,25-Jun-24,Cbus,Event,"4,058",,67.55,,2.29,
,WEBINAR - WAG - Investments in Super INVITE,2-Jul-24,Cbus,Event,"9,248",,42.00,,1.89,
,WEBINAR - WAG - Investments in Super INVITE,2-Jul-24,Media,Event,742,,63.70,,3.81,
,SEMINAR & WEBINAR - JULY (SYD region 2) Retirement Series,3-Jul-24,Cbus,Event,"11,889",,56.00,,3.11,
,SEMINAR & WEBINAR - JULY (SYD region 2) Retirement Series,3-Jul-24,Media,Event,"2,674",,69.00,,2.88,
,WEBINAR - WAG - Super Health Check INVITE,9-Jul-24,Cbus,Event,"8,599",,50.00,,1.90,
,WEBINAR - WAG - Super Health Check INVITE,9-Jul-24,Media,Event,990,,65.00,,3.34,
,Cbus - EOFY 2024 [Accum QLD],10-Jul-24,Cbus,Accum,"17,730",,46.00,,1.60,
,Media - EOFY 2024 [Accum],10-Jul-24,Media,Accum,"35,884",,65.88,,3.65,
,Cbus - EOFY 2024 [SIS],10-Jul-24,Cbus,SIS,"7,399",,72.75,,5.44,
,Cbus - EOFY 2024 [Accum],10-Jul-24,Cbus,Accum,"476,382",,46.80,,1.51,
,ALL BRANDS - Beneficiaries  (automated),11-Jul-24,Both,Marketing,"4,226",,76.39,,8.73,
,ALL BRANDS - Beneficiaries revamp - Binding expiries (Seg 4) (Automated),11-Jul-24,Both,Marketing,457,,81.84,,30.63,
,ALL BRANDS - WEBINAR - AUG 24 - TAS Retirement Series + Seminars - Invite,17-Jul-24,Media,Event,375,,59.62,,3.57,
,ALL BRANDS - WEBINAR - AUG 24 - TAS Retirement Series + Seminars - Invite,17-Jul-24,Cbus,Event,"3,422",,49.52,,2.32,
,SEMINAR & WEBINAR - AUG (TAS) Retirement Series (CBUS & MS) REMINDER,17-Jul-24,Media,Event,365,,59.62,,3.57,
,SEMINAR & WEBINAR - AUG (TAS) Retirement Series (CBUS & MS) REMINDER,17-Jul-24,Cbus,Event,"3,558",,49.52,,2.32,
,WEBINAR - JUL 24 - EOFY Investment Update - Invite),19-Jul-24,Cbus,Event,"98,299",,54.25,,3.43,
,WEBINAR - JUL 24 - EOFY Investment Update - Invite),19-Jul-24,Media,Event,"98,082",,54.25,,1.86,
,WEBINAR - WAG - EOFY Investment Update INVITE,19-Jul-24,Both,Event,"98,299",,54.25,,1.87,
,"12 Month Check In, Cbus (July 24)",23-Jul-24,Cbus,Marketing,"4,357",,60.70,,3.07,
,2024 Retirement Income survey � Investment Trends,23-Jul-24,Cbus,Research,"4,331",,60.70,,3.07,
,WEBINAR - WAG - Aug Insurance and Beneficiaries (Cbus) INVITE,29-Jul-24,Cbus,Event,"9,580",,49.25,,1.02,
,SEN - Insurance 30 June,30-Jul-24,Cbus,Comms,"309,707",,58.99,,9.71,
,SEMINAR & WEBINAR - AUG (CAN) Retirement Series (CBUS & MS) REMINDER,30-Jul-24,Cbus,Event,"3,484",,52.06,,1.39,
,SEMINAR & WEBINAR - AUG (CAN) Retirement Series (CBUS & MS) REMINDER,30-Jul-24,Media,Event,365,,60.16,,2.75,
,EISS 12 month check in (catch all) 1 AUG,31-Jul-24,Cbus,Marketing,"8,525",,55.86,,5.37,
,WEBINAR - WAG - Super Health Check INVITE ,4-Aug-24,Cbus,Event,"8,213",,46.67,,1.94,
,WEBINAR - WAG - Super Health Check INVITE ,4-Aug-24,Media,Event,"1,553",,62.52,,6.39,
,Retirement Sentiment Index survey (Emperica) - PILOT (26 Aug),26-Aug-24,Media,Research,154,,59.60,,1.32,
,Retirement Sentiment Index survey (Emperica) - PILOT (26 Aug),26-Aug-24,Cbus,Research,"1,002",,43.71,,0.70,
,Retirement Survey Aug 24 - REMAINDER GROUP - Invite,27-Aug-24,Media,Research,"3,653",,53.94,,0.97,
,Retirement Survey Aug 24 - REMAINDER GROUP - Invite,27-Aug-24,Cbus,Research,"52,112",,45.54,,0.61,
,WEBINAR - Sep - Transition to Retirement (TTR) INVITE,27-Aug-24,Cbus,Event,"8,619",,53.83,,2.89,
,WEBINAR - Sep - Transition to Retirement (TTR) INVITE,27-Aug-24,Media,Event,"1,311",,64.61,,4.90,
,WEBINAR - WAG - Sep - Investments in Super INVITE,28-Aug-24,Cbus,Event,"9,409",,34.98,,0.96,
,WEBINAR - WAG - Sep - Investments in Super INVITE,28-Aug-24,Media,Event,562,,47.51,,1.20,
,Retirement Sentiment Index survey (Emperica) - REMINDER #1,2-Sep-24,Media,Research,"3,686",,55.05,,0.84,
,Retirement Sentiment Index survey (Emperica) - REMINDER #2,2-Sep-24,Cbus,Research,"51,742",,45.90,,0.43,
,SIS - Statements Teaser eDM,3-Sep-24,Cbus,Comms,"12,661",,70.09,,10.95,
,WEBINAR - WAG - Sep - Boost your Super INVITE,3-Sep-24,Cbus,Event,"4,539",,37.79,,1.33,
,WEBINAR - WAG - Sep - Boost your Super INVITE,3-Sep-24,Media,Event,92,,44.57,,3.26,
,Cbus Super - Statements Teaser  - SIS,3-Sep-24,Cbus,Comms,"12,661",,73.64,,11.10,
,Cbus Self Managed (CSM) 2024 - 1.eDM [A] [Choice message],10-Sep-24,Cbus,Marketing,"2,253",,32.00,,2.04,
,Cbus Self Managed (CSM) 2024 - 1.eDM [B] [Control message],10-Sep-24,Cbus,Marketing,"2,191",,34.50,,1.61,
,MEDIA - 2024 Teaser Statements - RIE,11-Sep-24,Media,Comms,"25,695",,58.47,,6.13,
,MEDIA - 2024 Teaser Statements - NON RIE,11-Sep-24,Media,Comms,"21,318",,57.92,,7.20,
,Young Cohort 2024 - Sept Seg 2 - 1. eDM,12-Sep-24,Cbus,Marketing,"61,270",,49.52,,1.07,
,Young Cohort 2024 - Sept Seg 1 - 1. eDM,12-Sep-24,Cbus,Marketing,"13,636",,54.48,,1.67,
,Young Cohort 2024 - Sept Seg 3 - 1. eDM,12-Sep-24,Cbus,Marketing,"65,428",,35.23,,1.02,
,Unpaid Super Monies (USM) ,16-Sep-24,Media,Marketing,549,,45.36,,10.56,
,Unpaid Super Monies (USM) ,16-Sep-24,Cbus,Marketing,"3,640",,33.16,,6.43,
